sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
DRR163068	86933	22411	25.78	22080	21756	25.03	16901	19.44
DRR163069	114375	33238	29.06	33179	33060	28.9	21451	18.75
DRR163070	80786	19625	24.29	19586	19488	24.12	14658	18.14
DRR163071	108338	30261	27.93	30200	29953	27.65	21320	19.68
DRR163072	125858	28748	22.84	28682	28456	22.61	22852	18.16
DRR163073	135586	37699	27.8	37511	37255	27.48	33649	24.82
DRR163074	100023	30416	30.41	30376	30279	30.27	20019	20.01
DRR163075	108435	24431	22.53	24360	24285	22.4	22966	21.18
DRR163076	145312	22835	15.71	22807	22739	15.65	20490	14.1
DRR163077	154085	21514	13.96	21484	21457	13.93	19134	12.42
DRR163078	119868	22127	18.46	22109	22039	18.39	18233	15.21
DRR163079	169839	26222	15.44	26124	25916	15.26	22686	13.36
DRR163080	118216	18476	15.63	18422	18302	15.48	12537	10.61
DRR163081	141276	25300	17.91	25268	25153	17.8	17753	12.57
DRR163082	144937	22809	15.74	22781	22698	15.66	16371	11.3
DRR163083	120823	19788	16.38	19676	19513	16.15	15336	12.69
DRR163084	222868	72774	32.65	72565	71860	32.24	56228	25.23
