sample-id	input	filtered	percentage of input passed filter	denoised	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric
ERR4094024	1643	1338	81.44	1332	1332	81.07
ERR4094025	2367	1971	83.27	1964	1964	82.97
ERR4094026	178	131	73.6	99	99	55.62
ERR4094027	2618	2065	78.88	2045	2045	78.11
ERR4094028	638	468	73.35	391	391	61.29
ERR4094029	1747	1169	66.91	1162	1162	66.51
ERR4094030	664	473	71.23	471	471	70.93
ERR4094031	1311	958	73.07	944	944	72.01
ERR4094032	2578	1969	76.38	1848	1848	71.68
ERR4094033	1623	1217	74.98	1193	1193	73.51
ERR4094034	1301	986	75.79	982	982	75.48
ERR4094035	1731	1309	75.62	1285	1285	74.23
ERR4094036	1801	1370	76.07	1363	1363	75.68
ERR4094037	1136	826	72.71	805	805	70.86
ERR4094038	738	557	75.47	553	553	74.93
ERR4094039	2138	1284	60.06	1273	1273	59.54
ERR4094040	525	390	74.29	285	285	54.29
ERR4094041	424	313	73.82	313	313	73.82
ERR4094042	506	375	74.11	285	285	56.32
ERR4094043	1156	902	78.03	857	857	74.13
ERR4094044	1386	1038	74.89	1008	1008	72.73
ERR4094045	393	265	67.43	206	206	52.42
ERR4094046	523	395	75.53	301	301	57.55
ERR4094047	721	532	73.79	527	527	73.09
ERR4094048	907	654	72.11	634	634	69.9
ERR4094049	727	515	70.84	508	508	69.88
ERR4094050	700	525	75	506	506	72.29
ERR4094051	476	341	71.64	341	341	71.64
ERR4094052	756	577	76.32	564	564	74.6
ERR4094053	1020	767	75.2	767	767	75.2
ERR4094054	2190	1666	76.07	1664	1631	74.47
ERR4094055	950	740	77.89	734	734	77.26
ERR4094056	754	568	75.33	557	557	73.87
ERR4094057	744	539	72.45	530	530	71.24
ERR4094058	1103	687	62.28	683	683	61.92
ERR4094059	2761	2128	77.07	2118	2075	75.15
ERR4094060	1340	1018	75.97	993	993	74.1
ERR4094061	2824	2280	80.74	2277	2277	80.63
ERR4094062	2701	2206	81.67	2168	2168	80.27
ERR4094063	255	195	76.47	151	151	59.22
ERR4094064	1935	1527	78.91	1521	1521	78.6
ERR4094065	975	732	75.08	727	727	74.56
ERR4094066	607	433	71.33	425	425	70.02
ERR4094067	998	747	74.85	742	742	74.35
ERR4094068	1148	772	67.25	772	772	67.25
ERR4094069	434	322	74.19	316	316	72.81
ERR4094070	526	399	75.86	381	381	72.43
ERR4094071	436	326	74.77	317	317	72.71
ERR4094072	242	171	70.66	161	161	66.53
ERR4094073	435	341	78.39	202	202	46.44
ERR4094074	1688	1203	71.27	1197	1197	70.91
ERR4094075	1953	1466	75.06	1409	1409	72.15
ERR4094076	621	466	75.04	466	466	75.04
ERR4094077	682	477	69.94	469	469	68.77
ERR4094078	905	690	76.24	672	672	74.25
ERR4094079	491	349	71.08	328	328	66.8
ERR4094080	457	345	75.49	345	345	75.49
ERR4094081	383	292	76.24	289	289	75.46
ERR4094082	289	214	74.05	212	212	73.36
ERR4094083	679	495	72.9	483	483	71.13
ERR4094084	1680	1226	72.98	1213	1213	72.2
ERR4094085	273	211	77.29	207	207	75.82
ERR4094086	505	380	75.25	268	268	53.07
ERR4094087	878	498	56.72	496	496	56.49
ERR4094088	131	87	66.41	85	85	64.89
ERR4094089	210	162	77.14	158	158	75.24
ERR4094090	371	266	71.7	260	260	70.08
ERR4094091	384	283	73.7	281	281	73.18
ERR4094092	612	445	72.71	445	445	72.71
ERR4094093	297	215	72.39	211	211	71.04
ERR4094094	457	307	67.18	303	303	66.3
ERR4094095	655	494	75.42	337	337	51.45
ERR4094096	585	421	71.97	413	413	70.6
ERR4094097	368	244	66.3	242	242	65.76
ERR4094098	402	306	76.12	295	295	73.38
ERR4094099	444	336	75.68	332	332	74.77
ERR4094100	1722	1303	75.67	1272	1272	73.87
ERR4094101	1102	840	76.23	827	827	75.05
ERR4094102	587	434	73.94	429	429	73.08
ERR4094103	592	430	72.64	423	423	71.45
ERR4094104	636	466	73.27	461	461	72.48
ERR4094105	776	566	72.94	555	555	71.52
ERR4094106	739	447	60.49	437	437	59.13
ERR4094107	2497	1913	76.61	1858	1858	74.41
ERR4094108	1053	771	73.22	758	758	71.98
ERR4094109	1816	1364	75.11	1283	1283	70.65
ERR4094110	543	396	72.93	283	283	52.12
ERR4094111	327	251	76.76	238	238	72.78
ERR4094112	1013	742	73.25	719	719	70.98
ERR4094113	628	471	75	440	440	70.06
ERR4094114	611	443	72.5	440	440	72.01
ERR4094115	707	533	75.39	530	530	74.96
ERR4094116	904	646	71.46	639	639	70.69
ERR4094117	3655	3011	82.38	3011	3011	82.38
ERR4094118	1971	1627	82.55	1619	1619	82.14
ERR4094119	4344	3416	78.64	3411	3411	78.52
ERR4094120	1249	996	79.74	984	984	78.78
ERR4094121	1265	1015	80.24	986	986	77.94
ERR4094122	762	602	79	594	594	77.95
ERR4094123	952	748	78.57	729	729	76.58
ERR4094124	1566	1264	80.72	1216	1216	77.65
ERR4094125	903	728	80.62	528	528	58.47
ERR4094126	1033	814	78.8	789	789	76.38
ERR4094127	1090	871	79.91	871	871	79.91
ERR4094128	1963	1587	80.85	1560	1560	79.47
ERR4094129	1695	1308	77.17	1276	1276	75.28
ERR4094130	1375	1094	79.56	1074	1074	78.11
ERR4094131	4397	3496	79.51	3332	3332	75.78
ERR4094132	2543	2043	80.34	1974	1974	77.62
ERR4094133	2516	1932	76.79	1837	1837	73.01
ERR4094134	3268	2604	79.68	2567	2567	78.55
ERR4094135	1875	1518	80.96	1514	1514	80.75
ERR4094136	1903	1524	80.08	1485	1485	78.03
ERR4094137	2424	1918	79.13	1892	1892	78.05
ERR4094138	1275	849	66.59	839	839	65.8
ERR4094139	2021	1621	80.21	1601	1601	79.22
ERR4094140	1872	1480	79.06	1447	1447	77.3
ERR4094141	812	642	79.06	616	616	75.86
ERR4094142	1017	825	81.12	820	820	80.63
ERR4094143	2143	1698	79.23	1669	1669	77.88
ERR4094144	736	575	78.12	414	414	56.25
ERR4094145	4720	3764	79.75	3678	3678	77.92
ERR4094146	1181	938	79.42	924	924	78.24
ERR4094147	1084	859	79.24	852	852	78.6
ERR4094148	2804	2217	79.07	2117	2117	75.5
ERR4094149	1125	889	79.02	840	840	74.67
ERR4094150	2479	1946	78.5	1916	1916	77.29
ERR4094151	1992	1609	80.77	1551	1551	77.86
ERR4094152	1247	1007	80.75	1004	1004	80.51
ERR4094153	4182	3311	79.17	3221	3177	75.97
ERR4094154	2332	1879	80.57	1872	1872	80.27
ERR4094155	2981	2383	79.94	2279	2279	76.45
ERR4094156	2721	2155	79.2	2133	2133	78.39
ERR4094157	1970	1542	78.27	1527	1527	77.51
ERR4094158	2994	2361	78.86	2335	2335	77.99
ERR4094159	2948	2351	79.75	2302	2302	78.09
ERR4094160	1326	1078	81.3	1029	1029	77.6
ERR4094161	2730	2201	80.62	2174	2174	79.63
ERR4094162	1421	1156	81.35	1097	1097	77.2
ERR4094163	1445	1100	76.12	994	994	68.79
ERR4094164	5949	4790	80.52	4672	4559	76.63
ERR4094165	1189	949	79.81	942	942	79.23
ERR4094166	4888	3912	80.03	3805	3730	76.31
ERR4094167	1731	1334	77.07	1281	1281	74
ERR4094168	1139	867	76.12	851	851	74.71
ERR4094169	1547	1171	75.69	1153	1153	74.53
ERR4094170	1863	1385	74.34	1377	1377	73.91
ERR4094171	988	730	73.89	713	713	72.17
ERR4094172	822	601	73.11	583	583	70.92
ERR4094173	888	605	68.13	592	592	66.67
ERR4094174	1302	959	73.66	952	952	73.12
ERR4094175	2625	1957	74.55	1941	1941	73.94
ERR4094176	3454	2599	75.25	2599	2599	75.25
ERR4094177	1346	1026	76.23	1026	1026	76.23
ERR4094178	1028	757	73.64	750	750	72.96
ERR4094179	2506	1909	76.18	1909	1909	76.18
ERR4094180	1375	1031	74.98	1019	1019	74.11
ERR4094181	1311	1004	76.58	979	979	74.68
ERR4094182	2078	1566	75.36	1545	1545	74.35
ERR4094183	2959	2092	70.7	2086	2086	70.5
ERR4094184	797	564	70.77	553	553	69.39
ERR4094185	1087	803	73.87	799	799	73.51
ERR4094186	1306	929	71.13	924	924	70.75
ERR4094187	1083	811	74.88	806	806	74.42
ERR4094188	1028	773	75.19	764	764	74.32
ERR4094189	3342	2474	74.03	2462	2462	73.67
ERR4094190	592	426	71.96	426	426	71.96
ERR4094191	792	588	74.24	581	581	73.36
ERR4094192	1372	777	56.63	777	777	56.63
ERR4094193	1304	988	75.77	988	988	75.77
ERR4094194	1137	817	71.86	814	814	71.59
ERR4094195	1262	895	70.92	889	889	70.44
ERR4094196	861	640	74.33	637	637	73.98
ERR4094197	1160	844	72.76	802	802	69.14
ERR4094198	1543	1117	72.39	1105	1105	71.61
ERR4094199	5369	4051	75.45	3946	3855	71.8
ERR4094200	2052	1535	74.81	1485	1485	72.37
ERR4094201	2297	1696	73.84	1657	1657	72.14
ERR4094202	1393	1028	73.8	1028	1028	73.8
ERR4094203	2810	2138	76.09	2124	2124	75.59
ERR4094204	2133	1590	74.54	1590	1590	74.54
ERR4094205	2113	1596	75.53	1595	1595	75.49
ERR4094206	2559	2003	78.27	1959	1959	76.55
ERR4094207	3383	2598	76.8	2534	2534	74.9
ERR4094208	2423	1862	76.85	1800	1800	74.29
ERR4094209	1021	778	76.2	764	764	74.83
ERR4094210	1954	1476	75.54	1466	1432	73.29
ERR4094211	3220	2447	75.99	2428	2428	75.4
ERR4094212	1485	1110	74.75	1104	1104	74.34
ERR4094213	1472	1081	73.44	1081	1081	73.44
ERR4094214	1535	1153	75.11	1144	1144	74.53
ERR4094215	2965	2021	68.16	1986	1986	66.98
ERR4094216	1163	819	70.42	800	800	68.79
ERR4094217	981	704	71.76	704	704	71.76
ERR4094218	703	512	72.83	512	512	72.83
